movie_id,title,year,genres,imdb_rating
tt10022384,The Protector,2019,"Comedy,Romance",5.5
tt10022726,Sweet Face,2020,"Drama,Romance",5.9
tt10022858,Sucker for Love,2019,Drama,4.5
tt10022990,Seeru,2020,Drama,5.4
tt10023024,Love Aaj Kal,2020,"Drama,Romance",4.7
tt10023080,Nedunalvaadai,2019,Drama,7.1
tt10023150,My Cousin,2020,Comedy,5.4
tt10023172,Simple Passion,2020,"Drama,Romance",5.4
tt10023812,67 49 32 Kuzey,2019,Documentary,6.9
tt10025196,Dracula,2019,Drama,5.4
tt1002563,The Young Messiah,2016,"Drama,Fantasy",5.7
tt10026172,Between Me and My Mind,2019,Documentary,7.7
tt10027696,Patterns of Evidence: Moses Controversy,2019,Documentary,6.7
tt10027708,Miguelito,2019,"Documentary,Music",7.0
tt10027720,Ringolevio,2020,"Comedy,Drama,Romance",5.1
tt10030150,Faces of Fear,2020,Horror,5.0
tt10032266,Asia,2020,Drama,6.7
tt10034272,Mukherjee Dar Bou,2019,"Drama,Family",7.9
tt10035012,Curses,2019,Horror,5.3
tt10035478,Piola,2019,Drama,6.4
tt10036868,Jay's Longhorn,2019,"Documentary,Music",8.8
tt10037542,When I Last Saw Jesse,2019,Documentary,6.0
tt10037700,Pretty Cure Miracle Universe,2019,"Action,Adventure,Animation",7.1
tt10038028,The Struggle,2019,Action,3.3
tt10039344,Countdown,2019,"Horror,Thriller",5.4
tt10039354,JerryMaya's Detective Agency: The Secret of the Train Robber,2020,"Adventure,Comedy,Crime",5.3
tt10039468,My Stupid Boss 2,2019,"Adventure,Comedy",6.5
tt10039524,Luxor,2020,"Drama,Romance",5.3
tt10039642,In the Cold Dark Night,2020,Documentary,7.0
tt10040610,Village of the Missing,2019,Documentary,6.9
tt10041438,My Name Is Violeta,2019,Documentary,6.5
tt10041952,Winter Journey,2019,"Biography,Drama,History",7.2
tt10042622,They Who Surround Us,2020,Drama,4.5
tt10042660,The Box: Out of the Impossible,2019,Documentary,7.0
tt10043458,The Whisper of Silence,2020,Drama,7.5
tt10043746,Humba Dreams,2019,Drama,7.0
tt10043770,Growing Up Milwaukee,2020,Documentary,7.4
tt10044000,Snow to Sand,2019,Documentary,5.7
tt10044040,Revenge for Daddy,2020,Thriller,4.7
tt10044182,Block Z,2020,"Action,Horror,Thriller",5.4
tt10044220,Zagreb Equinox,2019,Comedy,7.2
tt10044704,Between Maybes,2019,"Drama,Romance",6.2
tt10045136,War of Art,2019,Documentary,7.1
tt10045434,The Door,2019,Drama,6.9
tt10045688,Gail's New Boyfriend,2019,"Comedy,Romance",4.8
tt10046522,Sinner,2019,"Comedy,Drama",5.8
tt10046694,Fabulous,2019,Comedy,6.0
tt10048128,Maurice Hines: Bring Them Back,2019,"Documentary,Music",8.3
tt10048556,Staged Killer,2019,Thriller,3.7
tt10049238,Joan Miró: The Inner Fire,2018,Documentary,7.1
tt10049262,James & Pat & Dave,2020,"Comedy,Romance",5.3
tt10049768,Unarmed Man,2019,Drama,7.9
tt10049848,Once Upon a Time in Deadwood,2019,"Action,Drama,Western",3.1
tt10050098,Mr Misfortune,2019,Thriller,6.8
tt10050274,Mystified,2019,"Adventure,Fantasy",6.1
tt10050766,Brené Brown: The Call to Courage,2019,"Documentary,Drama",7.7
tt10050782,Grass is Greener,2019,Documentary,7.1
tt10051088,Operation Curveball,2020,"Comedy,Crime,History",6.9
tt10051320,Adopted in Danger,2019,Thriller,5.2
tt10051586,Scare Attraction,2019,"Comedy,Horror,Thriller",2.2
tt10052156,Shell and Joint,2019,Drama,5.8
tt10052290,Faustina: Love and Mercy,2019,"Biography,Drama,Family",6.4
tt10052314,White Fish Season,2019,"Drama,Family",4.6
tt10052928,Black Fox: Age of the Ninja,2019,"Action,Drama,Fantasy",5.0
tt10053426,Bad Nun: Deadly Vows,2019,Horror,3.6
tt10054316,Guest House,2020,Comedy,4.4
tt10054544,VI,2019,Thriller,8.1
tt10054604,Girlfriends Reunited,2020,"Comedy,Drama",3.2
tt10054876,Zero Distance,2020,Thriller,6.6
tt10054952,3D Print Masters,2019,"Biography,Documentary",7.7
tt10055028,Dolphin Reef,2018,"Documentary,Family",7.4
tt10055770,Vellai Pookal,2019,Thriller,7.1
tt10056224,Cortex,2020,"Crime,Drama,Thriller",5.2
tt10056488,No Time to Run,2020,"Drama,Sci-Fi",7.4
tt10056510,Dharma Prabhu,2019,"Drama,Fantasy",4.9
tt10058864,The Third Strike,2020,"Crime,Documentary,News",4.1
tt10058890,Lonesome Boy,2020,"Documentary,Drama,Family",6.0
tt10058892,The Journey of Monalisa,2019,"Biography,Documentary",7.6
tt10059220,Blood of God,2019,Drama,4.7
tt10059236,My Second Year in College,2019,"Drama,Romance",5.0
tt10059414,We Stand Corrected,2019,Documentary,6.1
tt10059440,For The Voiceless,2019,Documentary,8.0
tt10059518,Unhinged,2020,"Action,Thriller",6.0
tt10060094,The Knight Before Christmas,2019,"Adventure,Comedy,Drama",5.6
tt10060386,Hellcat's Revenge II: Deadman's Hand,2019,"Action,Thriller",4.5
tt10060772,HAM: A Musical Memoir,2020,"Comedy,Documentary,Musical",8.5
tt10061256,Hot Gimmick: Girl Meets Boy,2019,"Drama,Romance",4.4
tt10061452,Iconicity,2020,Documentary,6.4
tt10062150,Yücel'in Çiçekleri,2018,"Biography,Documentary,History",8.1
tt10062606,The Seven Boxes,2017,Documentary,7.3
tt10062614,Guilty,2020,"Drama,Thriller",5.4
tt10062650,O Olho e a Faca,2019,"Drama,Thriller",5.7
tt10062704,Sasha's Hell,2019,"Drama,Horror",6.4
tt10063580,Cyberlante,2020,"Crime,Drama,Thriller",5.7
tt10063934,Bigfoot: The Legend is Real,2020,"Adventure,Documentary",5.0
tt10064270,Jaddi Sardar,2019,"Action,Drama,Romance",6.2
tt10064354,Inland,2019,Documentary,7.8
tt10064448,Because We Are Girls,2019,Documentary,7.3
tt10064828,Man on the Bus,2019,"Biography,Documentary",6.7
tt10065576,The Tiny Life of Butcher Duke,2019,Comedy,6.0
tt10065694,Antebellum,2020,"Drama,Horror,Mystery",5.8
tt10065750,My Nudity Means Nothing,2019,Drama,6.0
tt10065976,No Longer Human,2019,"Biography,Drama,Thriller",5.9
tt10066040,The Big Step,2019,Comedy,6.4
tt10066162,Song of Youth,2019,"Comedy,Drama",6.2
tt10066432,Sleepless Beauty,2020,Horror,4.3
